Sample	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
LIVER_RNA_HET_1_S4_L001_1 - nextera_transposase_sequence	6.979906707145169e-05	0.008602218751267432	0.008618739240515112	0.008626999485138953	0.008641867925461866	0.008643932986617826	0.008651367206779281	0.00865714937801597	0.008672017818338883	0.008697624576672789	0.008751233564281513	0.008808890071755919	0.008927341979661791	0.00902572149313173	0.0092364403334859	0.009493994760857247	0.009873553001322713	0.010549901831122768	0.01173838582760093	0.013758098240576156	0.01749908042826725	0.023562017379719895	0.034650900172548245	0.053353002627831624	0.08607546609049808	0.14287538619741208	0.23702879331290244	0.3849699397307772	0.6088623834159399	0.9284946967990478	1.3437946027396424	1.8877903589563645	2.5446851562330277	3.3286222680170185	4.216634001529302	4.803098483840359
LIVER_RNA_HET_1_S4_L001_2 - nextera_transposase_sequence	6.319087137237935e-05	0.008541092941051012	0.008549766197906044	0.008553070295755581	0.008559678491454652	0.008562569577072998	0.008567525723847301	0.008571655846159222	0.008577851029627102	0.008588919757423048	0.008614939527988145	0.008656571160892301	0.008733556640786493	0.008880588995090855	0.009170027966710223	0.009515058384648037	0.010002578022347101	0.010798452591854127	0.012103240832635965	0.014238018453221285	0.018122728897367206	0.02433608490341998	0.035595293940391924	0.054369012716564004	0.08694716970565197	0.14291123565907954	0.23480703531642813	0.38134195768954016	0.5981968381600833	0.9116716347907957	1.3285962482464533	1.8769496139120363	2.541973400525467	3.3403073752667956	4.2470832456714875	4.844383186470314
LIVER_RNA_HET_2_S5_L001_1 - nextera_transposase_sequence	8.110574647015297e-05	0.0013060217228896523	0.0013231196910644413	0.0013310110609912672	0.0013463553914045392	0.001350301076367952	0.0013603844934966737	0.0013621381312581907	0.001380112918313738	0.0014063298028484145	0.0014690223528226408	0.001537852634962176	0.0016945401689537041	0.0018195745413498534	0.0020424619008386413	0.0023227808970171055	0.00270638915734891	0.003330070427232367	0.004404348919937571	0.006189639843049771	0.009355219048251862	0.014654712363555695	0.0243821410266895	0.04050762938082935	0.06884922142735961	0.11808645958501969	0.20024237202865702	0.33329262263269965	0.5416234734725769	0.8484579110146155	1.260673614877596	1.8132621468634973	2.49836510543541	3.329550561317965	4.285109355842467	4.918506743425496
LIVER_RNA_HET_2_S5_L001_2 - nextera_transposase_sequence	6.970710102029363e-05	0.0012393834879520131	0.001247713267319218	0.0012494669050807348	0.001256043046686423	0.0012586735033286982	0.0012674416921362823	0.001273141014861212	0.0012819092036687962	0.0013017253103739363	0.0013346937002904524	0.001392388382644356	0.0015126879330844098	0.0017128656835615548	0.0020378147607706216	0.0024307173012384654	0.002957773130462346	0.0037317411565077952	0.004966740550056017	0.00688539562493157	0.010182585344135495	0.015636924873781263	0.025484828451131276	0.04163232495917816	0.06975462460363073	0.11819194089637493	0.19818202302265092	0.32957210475786564	0.5311933621584033	0.8307902736129977	1.2407529913618698	1.7920752215201798	2.477826675336301	3.3134668095425495	4.276737927578425	4.913428646877583
LIVER_RNA_SMA_1_S1_L001_1 - nextera_transposase_sequence	7.090974665678669e-05	0.002159776194261458	0.002180771817573244	0.0021863178312782443	0.00219899443403253	0.0022029558723932444	0.002208898029934316	0.0022140478998032443	0.002229101365573959	0.002263011277941674	0.0023160153232080318	0.0023853404945205323	0.002552909337178749	0.0026916389085709655	0.002944695591053397	0.0032655720982712583	0.0036649643137984787	0.004293406895342201	0.0054242390897917174	0.007351320394744815	0.010830730935727433	0.016557465458743297	0.027159542172290295	0.0449559078639634	0.07611016447919804	0.13071257089533692	0.2235644077170515	0.3733366469972933	0.6099483688704264	0.9608923517036441	1.4319480963789273	2.0717634920836576	2.8642323604171445	3.8273496935904676	4.927136967123504	5.658171136300128
LIVER_RNA_SMA_1_S1_L001_2 - nextera_transposase_sequence	6.575987678785803e-05	0.0020872818722603857	0.0020948086051457426	0.0020999584750146716	0.002104316057211457	0.0021098620709164573	0.0021158042284575287	0.002121350242162529	0.002126103968195386	0.0021372752243726005	0.0021678575285173154	0.0022249022409116014	0.0023293257561000317	0.0025201086275520343	0.002857623175884896	0.0032795163613009736	0.0037951371783315514	0.004551534218926347	0.005798911929948079	0.007827168370633821	0.01140418875282444	0.017222749417041664	0.027837185818274095	0.045303326008198044	0.07573660084178266	0.12851547795171753	0.21697875412866555	0.36297217735662196	0.5886007321459072	0.9266651281232361	1.3910225559031546	2.0249102929312137	2.812734216329229	3.7751479188209216	4.877708516121527	5.6084780612156555
LIVER_RNA_SMA_2_S2_L001_1 - nextera_transposase_sequence	7.88940746711701e-05	0.0027598405753068217	0.002785009237165109	0.002792753440813813	0.0028111459244794844	0.0028174380899440563	0.00282760235723298	0.002836798599065816	0.0028503509554510475	0.002877842878403946	0.0029336011446746135	0.003011333588798478	0.003166314464318163	0.0033090982190911397	0.0035850822766218217	0.003930376956808403	0.004382251239710271	0.005122500305980746	0.006343083603562076	0.00834283059074862	0.011922685529907566	0.01782473673567596	0.028437587020950884	0.04610531002764937	0.0769829020132156	0.1305991215546516	0.2209500679062597	0.3663831147474578	0.5927371847623287	0.9253869356262152	1.3686626356118357	1.9654690121813758	2.6998014100616965	3.5873704951949223	4.600025603305288	5.273905295465642
LIVER_RNA_SMA_2_S2_L001_2 - nextera_transposase_sequence	7.647401103095016e-05	0.0026407734442080006	0.00265045369876888	0.002654809813321276	0.00266739414425042	0.002670782233346728	0.0026780424242673876	0.0026906267551965314	0.0026969189206611033	0.0027141497737794692	0.002754032422570294	0.0028140500008477483	0.0029216944315647313	0.003119558834789114	0.0034718232982595284	0.003916824600423171	0.004502383198810789	0.00535898892490304	0.00668895909902231	0.008828972974796002	0.012521506077043587	0.01854301162409324	0.029241725767323166	0.04680277236876076	0.07722026185504838	0.12967097874735445	0.21743216659629044	0.3604142697852194	0.5795514196173176	0.9039908625753938	1.3432658101535484	1.9361820796252531	2.667296180074264	3.5545336196862345	4.568945113184126	5.241597445868706
P7_LIVER_RNA_HET_3_S6_L001_1 - nextera_transposase_sequence	9.886192350591623e-05	0.006296170675977974	0.006323240012176023	0.006331478505801516	0.006354232440576687	0.006360509388100872	0.006367178644845319	0.006374632520030289	0.006392286434942059	0.006424298867315404	0.006490599125539609	0.006565137877389308	0.006719315400952106	0.006881339108920135	0.007165370984389514	0.007545675542511082	0.008053480597217662	0.008813069709488117	0.010051746841542007	0.012046717688416152	0.015691741115710475	0.021549388545280063	0.032083361880367596	0.04983692333408479	0.08091197205653608	0.13445935599585482	0.22355419223045087	0.3662416848883837	0.5845032334282857	0.9047126882625255	1.33024579176961	1.8975012287909396	2.59777946390537	3.448090711056068	4.422120436984767	5.073063904567047
