Sample	Reads passing filters
LIVER_RNA_HET_1_S4_L001_1	242123580.0
LIVER_RNA_HET_1_S4_L001_2	242123580.0
LIVER_RNA_HET_2_S5_L001_1	228097278.0
LIVER_RNA_HET_2_S5_L001_2	228097278.0
LIVER_RNA_SMA_1_S1_L001_1	252433563.0
LIVER_RNA_SMA_1_S1_L001_2	252433563.0
LIVER_RNA_SMA_2_S2_L001_1	206606137.0
LIVER_RNA_SMA_2_S2_L001_2	206606137.0
P7_LIVER_RNA_HET_3_S6_L001_1	254900968.0
P7_LIVER_RNA_HET_3_S6_L001_2	254900968.0
P7_LIVER_RNA_SMA_3_S3_L001_1	207984758.0
P7_LIVER_RNA_SMA_3_S3_L001_2	207984758.0
