Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
LIVER_RNA_HET_1_S4_L001_1										14.227966414320816	5.640362465238702	11.695218816085697	4.747293749659256	11.567809138347032	5.391949063446212	16.82767208019208
LIVER_RNA_HET_1_S4_L001_2										15.518123202544034	5.197210058074436	10.91340468213662	4.737118131929479	12.788207179332273	5.959137501942588	11.5042771269994
LIVER_RNA_HET_2_S5_L001_1										14.57142248179423	5.168800461770369	10.674098497785838	4.413735563427534	10.56510632887763	4.971577981061616	14.286077408156949
LIVER_RNA_HET_2_S5_L001_2										14.658025745106329	4.520527807794768	9.758992344060962	4.516720268725294	11.702094766453984	5.3581979367156105	8.900310422002336
LIVER_RNA_SMA_1_S1_L001_1										15.147619222809658	5.754997054581063	11.835004175233278	4.629821786948178	11.232897249639244	5.178020915790256	16.543151652597942
LIVER_RNA_SMA_1_S1_L001_2										16.36347734683539	5.18263085718665	10.180280391113707	4.473063475956877	12.217013475984922	5.8215048735031	11.095533568859773
LIVER_RNA_SMA_2_S2_L001_1										14.530055276145756	5.233784372430596	10.555987348720805	4.282125755474903	10.519032914933007	4.974743830994555	13.966155595963347
LIVER_RNA_SMA_2_S2_L001_2										14.680941110828439	4.45165882508335	9.258373649919944	4.365023583186646	11.730829075641198	5.286037787393911	9.003173755567609
P7_LIVER_RNA_HET_3_S6_L001_1										15.5939319912996	4.888046821384349	9.159399874067386	3.756101956481444	9.474652744009894	4.184717517668676	11.408107034304663
P7_LIVER_RNA_HET_3_S6_L001_2										14.21454959222251	3.9523856907698316	8.370605519115722	3.9099214632483115	10.469810789654058	4.738901957562163	6.561304482218031
P7_LIVER_RNA_SMA_3_S3_L001_1										14.62119871609521	4.679095525629049	9.102109159177516	3.8332781076211138	9.87845447815055	4.362499212647362	11.208156512359606
P7_LIVER_RNA_SMA_3_S3_L001_2										13.586266801548227	3.9007763061056457	8.486715034321785	4.1127404088334245	11.325817206955143	5.036499965745976	6.192026513353676
