Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
LIVER_RNA_HET_1_S4_L001_1										14.227448880061107	5.633177278289942	11.703323105102218	4.7459536958669855	11.570169994030847	5.3964736931615525	16.7881280946985
LIVER_RNA_HET_1_S4_L001_2										15.526724239678117	5.190472879574677	10.923499824296456	4.7416734921930095	12.77480525941002	5.946701585583635	11.50007663059779
LIVER_RNA_HET_2_S5_L001_1										14.57460232985369	5.169956198205938	10.66945883939546	4.416124026399121	10.559389653535986	4.97743595964562	14.263426758725528
LIVER_RNA_HET_2_S5_L001_2										14.651670445471934	4.5194451942492995	9.770884827221003	4.513572852690255	11.694218254059875	5.347805840675761	8.901446413447218
LIVER_RNA_SMA_1_S1_L001_1										15.158026579715656	5.754219610036824	11.83967865927124	4.629289180301038	11.239599240528753	5.171100702880061	16.523712986012868
LIVER_RNA_SMA_1_S1_L001_2										16.36909177432797	5.181339732554769	10.186958860421399	4.480723903971344	12.204799211967021	5.807451292162129	11.093211688193554
LIVER_RNA_SMA_2_S2_L001_1										14.530527035513241	5.23580286712099	10.555985360198001	4.292611039096695	10.523925678641524	4.975103241057206	13.94242452342759
LIVER_RNA_SMA_2_S2_L001_2										14.6786827124916	4.454106492204899	9.270002095984065	4.3593497466086015	11.721594978744744	5.268959614345879	9.006030307593651
P7_LIVER_RNA_HET_3_S6_L001_1										15.591093358396266	4.889184057918958	9.162696934384396	3.7570076632392397	9.476598599932453	4.173301232985539	11.396661304700181
P7_LIVER_RNA_HET_3_S6_L001_2										14.207984896606018	3.950603030877679	8.37818142533577	3.90691380153158	10.459018566738512	4.728111062754952	6.554798951833325
P7_LIVER_RNA_SMA_3_S3_L001_1										14.619621867416777	4.676328159826809	9.103244876105682	3.8244543368345827	9.88424059816672	4.34839285360234	11.195603118835914
P7_LIVER_RNA_SMA_3_S3_L001_2										13.586873219917617	3.9000272430999425	8.48818108893104	4.113023333458101	11.301803019025172	5.027965354086874	6.191714450234146
